Organization - Name,Organization - Address,Geocoded Address,Latitude,Longitude,Organization - Locality,Organization - New Coverage,Organization - Used Coverage,Organization - Closed deals,Organization - Open deals
Frank Leta Acura,"11777 Tesson Ferry Rd, St. Louis, MO 63128, USA","Frank Leta Acura, 11777, Tesson Ferry Road, Saint Louis, Saint Louis County, Missouri, 63128, United States of America",38.521491,-90.3605718,Local,,,0,5
Frank Leta Honda,"11777 Tesson Ferry Rd, St. Louis, MO 63128","Frank Leta Acura, 11777, Tesson Ferry Road, Saint Louis, Saint Louis County, Missouri, 63128, United States of America",38.521491,-90.3605718,Local,None,Flyout,0,21
Fulton Ford,"1202 US-54 BUS, Fulton, MO 65251, USA","MO H;US 54 BUS, Fulton, Callaway County, Missouri, 65251, United States",38.8205506,-91.9790656,Local,,,0,0
Genesis of South St. Louis County (Suntrup),"5926 S Lindbergh Blvd, St. Louis, MO 63123, USA","5926, South Lindbergh Boulevard, Concord, Saint Louis County, Missouri, 63123, United States of America",38.5215717,-90.3462165,Local,,,0,1
Glendale CDJR,"10070 Manchester Rd, St. Louis, MO 63122, USA","Manchester Road, Franz Park, Maplewood, Saint Louis County, Missouri, 63143, United States",38.6142445,-90.3138193,Local,None,ShortCut Pack,0,28
Honda of Frontenac,"14116 Manchester Rd, Manchester, MO 63011","Suntrup Kia West, 14116, Manchester Road, Manchester, Saint Louis County, Missouri, 63011, United States",38.5932125,-90.4951632,Local,ShortCut,ShortCut Pack,0,17
HW KIA,"14116 Manchester Rd, Manchester, MO 63021, USA","Suntrup Kia West, 14116, Manchester Road, Manchester, Saint Louis County, Missouri, 63011, United States of America",38.5932125,-90.4951632,Local,ShortCut,ShortCut Pack,0,16
Imperial Motors Jaguar of Lake Bluff,"150 Skokie Hwy, Lake Bluff, IL 60044, USA","150, South Skokie Highway, Lake Bluff, Lake County, Illinois, 60044, United States",42.2742705,-87.867607,Local,,,0,0
Jack Schmitt Chevrolet O'Fallon,"127 Regency Park, O'Fallon, IL 62269","127, Regency Park Drive, Glenview, O'Fallon, Saint Clair County, Illinois, 62269, United States of America",38.5873689,-89.9396351,Local,,,0,0
Jack Schmitt Ford,"1820 Vandalia St, Collinsville, IL 62234","Jack Schmitt Ford, 1820, Vandalia Street, Collinsville, Madison County, Illinois, 62234, United States",38.6930266,-89.9693682,Local,,,0,6
